IFX,SDF
0.675,40.59
0.67,38.87
0.625,39.4
0.6,37.38
0.53,36.06
0.52,34.77
0.52,35.84
0.49,36.61
0.475,35.53
0.5,33.88
0.485,32.14
0.485,35.24
0.47,32.04
0.41,32.52
0.39,33.08
0.4,34.13
0.43,34.02
0.47,31.5
0.47,32.59
0.545,33.05
0.535,32.67
0.62,32.41
0.685,34.29
0.685,35.06
0.795,35.36
0.925,35.94
0.91,36.31
0.915,36.6
0.815,35.95
0.79,34.29
0.87,34.93
0.85,34.8
0.89,38.7
0.91,39.72
1.12,40.72
1.11,39.62
1.205,39.9
1.35,42.46
1.35,42.46
1.345,44.1
1.37,44.54
1.495,46.24
1.665,45.87
1.62,42.74
1.63,43.76
1.77,44.63
1.835,43.08
1.88,44.67
1.825,44.37
1.73,44.55
1.9,46
2.015,45.55
2.015,45.55
2.29,48.26
2.59,48.55
2.46,49.11
2.6,48.32
2.3,50
2.06,48.26
2.125,48.45
1.935,47.29
2.06,44.85
2.17,47.99
2.14,48.46
2.43,49.87
2.42,53.2
2.33,50.94
2.355,53.58
2.32,52.27
2.25,52.25
2.335,52.18
2.17,52.74
2.22,52.48
2.39,55.36
2.415,55.98
2.35,54.57
2.47,52.73
2.565,53.09
2.445,51.09
2.515,51.74
2.59,52.82
2.705,53.26
2.7,53.15
2.515,50.22
2.495,49.28
2.26,42.4
2.355,41.49
2.29,41.97
2.19,39.26
2.245,40.43
2.38,42.4
2.49,41
2.53,40.01
2.555,40.81
2.575,40.03
2.64,41.42
2.475,41.04
2.43,40.16
2.46,39.43
2.46,39.75
2.685,39.15
2.58,39.83
2.72,37.89
2.855,36.75
2.89,37.11
3.125,38.14
3.495,38.88
3.32,37.84
2.86,38.71
3.045,39.13
2.995,39.11
2.97,39.9
2.855,40.58
2.755,41.56
2.66,39.82
2.73,40.84
2.85,40.95
2.89,39.38
2.875,39.2
2.895,39.15
2.74,38.91
2.77,38.59
2.91,38.37
2.93,38.07
2.92,37
2.91,37.23
3.09,36.94
3.24,36.21
3.24,35.57
3.39,35.72
3.36,36.63
3.42,37.37
3.39,38.65
3.35,39.53
3.34,38.78
3.34,38.35
3.365,36.27
3.505,36.23
3.665,35.36
3.595,35.07
3.46,35.2
3.595,35.68
3.73,36.5
3.76,37.52
3.82,37.53
3.845,37.24
3.96,36.82
4,37.76
3.85,37.55
3.885,37.75
3.81,39.37
3.7,40.3
3.53,39.62
3.595,38.1
3.64,37.59
3.73,37.36
3.53,36.83
3.505,36.81
3.525,37.46
3.67,36.83
3.855,37.29
3.76,36.47
3.63,36.29
3.725,36.43
3.82,37.61
3.79,38.22
3.785,38.91
3.78,38.35
3.97,38.48
3.865,37.92
4.02,39.21
3.87,38.82
3.765,38.97
3.835,40.25
3.88,40.9
3.72,40.82
3.56,40.2
3.475,41
3.375,39.56
3.12,39.05
3.045,37.85
3.235,38.45
3.065,37.18
3.19,37.19
3.055,37.58
3.27,38.53
3.205,38.71
3.23,38.78
3.22,39.05
3.165,38.6
3.385,37.85
3.34,38.5
3.385,38.8
3.495,38.41
3.435,40.14
3.465,40.59
3.215,39.45
3.105,40.4
3.18,41.51
3.25,41.61
3.21,43.29
3.075,41.72
3.22,40.78
3.19,40.12
3.31,42.78
3.285,43.03
3.29,43.56
3.305,43.39
3.34,42.55
3.375,41.1
3.37,40.91
3.365,41.6
3.32,42.25
3.38,42.44
3.425,41.95
3.565,41.71
3.44,40.91
3.58,40.93
3.72,41.56
3.855,40.83
3.79,40.04
3.84,40.55
3.885,40.41
3.88,39.99
4.104,41.74
4.238,44.525
4.181,45.02
4.112,46.2
4.18,46.04
4.06,45.68
3.985,44.305
4.111,44.73
4.162,44.335
4.046,43.66
4.049,44.26
4.017,45.11
4.003,42.97
3.9,42.11
3.766,42.38
3.82,42.145
3.898,41.765
3.816,41.31
3.904,39.86
4.019,40.82
4.208,41.17
4.343,41.97
4.22,42.635
4.11,41.35
3.959,40.795
3.958,41.35
3.98,42.03
4.001,41.955
4.06,42.24
3.942,42.985
3.848,43.65
3.973,44.5
4.089,44.29
4.116,45.775
